Column 1	Column 3
Pete        	77.708 
Merle       	77.724 
Meghan      	77.740 
Jonathon    	77.756 
Gretchen    	77.772 
Gerardo     	77.788 
Geoffrey    	77.804 
Garry       	77.820 
Felipe      	77.836 
Eloise      	77.852 
Ed          	77.868 
Dominic     	77.884 
Devin       	77.900 
Cecelia     	77.916 
Carroll     	77.932 
Raquel      	77.947 
Lucas       	77.963 
Jana        	77.978 
Henrietta   	77.994 
Gwen        	78.009 
Guillermo   	78.025 
Earnest     	78.040 
Delbert     	78.056 
Colin       	78.071 
Alyssa      	78.087 
Tricia      	78.102 
Tasha       	78.117 
Spencer     	78.132 
Rodolfo     	78.147 
Olive       	78.162 
Myron       	78.177 
Jenna       	78.192 
Edmund      	78.207 
Cleo        	78.222 
Benny       	78.237 
Sophie      	78.251 
Sonja       	78.266 
Silvia      	78.280 
Salvatore   	78.295 
Patti       	78.309 
Mindy       	78.324 
May         	78.338 
Mandy       	78.353 
Lowell      	78.367 
Lorena      	78.382 
Lila        	78.396 
Lana        	78.411 
Kellie      	78.425 
Kate        	78.440 
Jewel       	78.454 
Gregg       	78.469 
Garrett     	78.483 
Essie       	78.498 
Elvira      	78.512 
Delia       	78.527 
Darla       	78.541 
Cedric      	78.556 
Wilson      	78.570 
Sylvester   	78.584 
Sherman     	78.598 
Shari       	78.612 
Roosevelt   	78.626 
Miranda     	78.640 
Marty       	78.654 
Marta       	78.668 
Lucia       	78.682 
Lorene      	78.696 
Lela        	78.710 
Josefina    	78.724 
Johanna     	78.738 
Jermaine    	78.752 
Jeannie     	78.766 
Israel      	78.780 
Faith       	78.794 
Elsa        	78.808 
Dixie       	78.822 
Camille     	78.836 
Winifred    	78.849 
Wilbert     	78.862 
Tami        	78.876 
Tabitha     	78.889 
Shawna      	78.903 
Rena        	78.916 
Ora         	78.930 
Nettie      	78.943 
Melba       	78.957 
Marina      	78.970 
Leland      	78.984 
Kristie     	78.997 
Forrest     	79.011 
Elisa       	79.024 
Ebony       	79.038 
Alisha      	79.051 
Aimee       	79.065 
Tammie      	79.078 
Simon       	79.091 
Sherrie     	79.104 
Sammy       	79.117 
Ronda       	79.130 
Patrice     	79.143 
Owen        	79.156 
Myrna       	79.169 
Marla       	79.182 
Latasha     	79.195 
Irving      	79.208 
Dallas      	79.221 
Clark       	79.234 
Bryant      	79.247 
Bonita      	79.260 
Aubrey      	79.273 
Addie       	79.286 
Woodrow     	79.298 
Stacie      	79.311 
Rufus       	79.323 
Rosario     	79.336 
Rebekah     	79.349 
Marcos      	79.361 
Mack        	79.374 
Lupe        	79.386 
Lucinda     	79.399 
Lou         	79.411 
Levi        	79.424 
Laurence    	79.436 
Kristopher  	79.449 
Jewell      	79.461 
Jake        	79.474 
Gustavo     	79.486 
Francine    	79.499 
Ellis       	79.511 
Drew        	79.524 
Dorthy      	79.536 
Deloris     	79.549 
Cheri       	79.561 
Celeste     	79.574 
Cara        	79.586 
Adriana     	79.599 
Adele       	79.611 
Abigail     	79.624 
Trisha      	79.636 
Trina       	79.648 
Tracie      	79.660 
Sallie      	79.672 
Reba        	79.684 
Orville     	79.696 
Nikki       	79.708 
Nicolas     	79.720 
Marissa     	79.732 
Lourdes     	79.744 
Lottie      	79.756 
Lionel      	79.768 
Lenora      	79.780 
Laurel      	79.792 
Kerri       	79.804 
Kelsey      	79.816 
Karin       	79.828 
Josie       	79.840 
Janelle     	79.852 
Ismael      	79.864 
Helene      	79.876 
Gilberto    	79.888 
Gale        	79.900 
Francisca   	79.912 
Fern        	79.924 
Etta        	79.936 
Estella     	79.948 
Elva        	79.960 
Effie       	79.972 
Dominique   	79.984 
Corinne     	79.996 
Clint       	80.008 
Brittney    	80.020 
Aurora      	80.032 
Wilfred     	80.043 
Tomas       	80.055 
Toby        	80.066 
Sheldon     	80.078 
Santos      	80.089 
Maude       	80.101 
Lesley      	80.112 
Josh        	80.124 
Jenifer     	80.135 
Iva         	80.147 
Ingrid      	80.158 
Ina         	80.170 
Ignacio     	80.181 
Hugo        	80.193 
Goldie      	80.204 
Eugenia     	80.216 
Ervin       	80.227 
Erick       	80.239 
Elisabeth   	80.250 
Dewey       	80.262 
Christa     	80.273 
Cassie      	80.285 
Cary        	80.296 
Caleb       	80.308 
Caitlin     	80.319 
Bettie      	80.331 
Al          	80.342 
Aida        	80.354 
Van         	80.365 
Therese     	80.376 
Terence     	80.387 
Tamika      	80.398 
Stewart     	80.409 
Santiago    	80.419 
Rosetta     	80.430 
Rogelio     	80.441 
Ramiro      	80.452 
Polly       	80.463 
Noah        	80.474 
Lorna       	80.485 
Latonya     	80.496 
Kris        	80.507 
Janette     	80.518 
Elias       	80.529 
Elbert      	80.540 
Doyle       	80.551 
Dina        	80.562 
Dena        	80.573 
Debora      	80.584 
Darrel      	80.595 
Darnell     	80.606 
Consuelo    	80.617 
Conrad      	80.628 
Cherie      	80.639 
Carey       	80.650 
Candy       	80.661 
Bert        	80.672 
Alonzo      	80.683 
Trudy       	80.694 
Terrell     	80.704 
Stefanie    	80.715 
Shanna      	80.725 
Rolando     	80.736 
Phil        	80.746 
Percy       	80.757 
Patrica     	80.767 
Nell        	80.778 
Lamar       	80.788 
Kimberley   	80.799 
Jillian     	80.809 
Helena      	80.820 
Grady       	80.830 
Fay         	80.841 
Esperanza   	80.851 
Dorothea    	80.862 
Dexter      	80.872 
Devon       	80.883 
Dee         	80.893 
Cornelius   	80.904 
Clay        	80.914 
Carolina    	80.925 
Bradford    	80.935 
Susanne     	80.945 
Saul        	80.955 
Roman       	80.965 
Randal      	80.975 
Ola         	80.985 
Moses       	80.995 
Mollie      	81.005 
Mickey      	81.015 
Maribel     	81.025 
Louie       	81.035 
Kendall     	81.045 
Janine      	81.055 
Irvin       	81.065 
Darin       	81.075 
Amos        	81.085 
Alisa       	81.095 
Winston     	81.105 
Timmy       	81.114 
Susana      	81.124 
Rachelle    	81.133 
Petra       	81.143 
Paige       	81.152 
Micah       	81.162 
Marlon      	81.171 
Leola       	81.181 
Keisha      	81.190 
Joni        	81.200 
Jolene      	81.209 
Jocelyn     	81.219 
Jerald      	81.228 
Isabelle    	81.238 
Imogene     	81.247 
Graciela    	81.257 
Ester       	81.266 
Emmett      	81.276 
Emilio      	81.285 
Emil        	81.295 
Emanuel     	81.304 
Elise       	81.314 
Elijah      	81.323 
Edmond      	81.333 
Dominick    	81.342 
Domingo     	81.352 
Darrin      	81.361 
Daphne      	81.371 
Cecile      	81.380 
Brendan     	81.390 
Boyd        	81.399 
Bette       	81.409 
Alta        	81.418 
Abel        	81.428 
Will        	81.437 
Ursula      	81.446 
Trent       	81.455 
Tonia       	81.464 
Teddy       	81.473 
Stephan     	81.482 
Sondra      	81.491 
Shana       	81.500 
Rosalind    	81.509 
Reynaldo    	81.518 
Otto        	81.527 
Mayra       	81.536 
Marisol     	81.545 
Marisa      	81.554 
Logan       	81.563 
